 (2.3756-0.7610j), (nan+nanj), (0.3036+0.1884j), (nan+nanj), (-0.0428+0.0279j)
 (2.3713-0.7693j), (nan+nanj), (0.3042+0.1911j), (nan+nanj), (-0.0426+0.0282j)
 (2.3664-0.7772j), (nan+nanj), (0.3045+0.1938j), (nan+nanj), (-0.0424+0.0285j)
 (2.3611-0.7846j), (nan+nanj), (0.3047+0.1964j), (nan+nanj), (-0.0423+0.0288j)
 (2.3554-0.7913j), (nan+nanj), (0.3047+0.1990j), (nan+nanj), (-0.0422+0.0292j)
 (2.3495-0.7973j), (nan+nanj), (0.3045+0.2014j), (nan+nanj), (-0.0421+0.0295j)
 (2.3435-0.8024j), (nan+nanj), (0.3041+0.2036j), (nan+nanj), (-0.0421+0.0299j)
 (2.3374-0.8066j), (nan+nanj), (0.3035+0.2057j), (nan+nanj), (-0.0421+0.0302j)
 (2.3313-0.8099j), (nan+nanj), (0.3028+0.2075j), (nan+nanj), (-0.0422+0.0306j)
 (2.3254-0.8121j), (nan+nanj), (0.3018+0.2090j), (nan+nanj), (-0.0423+0.0309j)
 (2.3198-0.8132j), (nan+nanj), (0.3006+0.2102j), (nan+nanj), (-0.0425+0.0312j)
 (2.3145-0.8132j), (nan+nanj), (0.2993+0.2111j), (nan+nanj), (-0.0426+0.0315j)
 (2.3097-0.8121j), (nan+nanj), (0.2978+0.2116j), (nan+nanj), (-0.0429+0.0318j)
 (2.3054-0.8099j), (nan+nanj), (0.2962+0.2117j), (nan+nanj), (-0.0431+0.0320j)
 (2.3017-0.8067j), (nan+nanj), (0.2945+0.2115j), (nan+nanj), (-0.0434+0.0322j)
 (2.2987-0.8024j), (nan+nanj), (0.2927+0.2108j), (nan+nanj), (-0.0437+0.0324j)
 (2.2965-0.7971j), (nan+nanj), (0.2908+0.2097j), (nan+nanj), (-0.0441+0.0325j)
 (2.2950-0.7910j), (nan+nanj), (0.2890+0.2083j), (nan+nanj), (-0.0445+0.0326j)
 (2.2943-0.7841j), (nan+nanj), (0.2872+0.2065j), (nan+nanj), (-0.0449+0.0326j)
 (2.2944-0.7765j), (nan+nanj), (0.2854+0.2043j), (nan+nanj), (-0.0453+0.0325j)
 (2.2952-0.7683j), (nan+nanj), (0.2838+0.2018j), (nan+nanj), (-0.0456+0.0324j)
 (2.2969-0.7597j), (nan+nanj), (0.2823+0.1991j), (nan+nanj), (-0.0460+0.0322j)
 (2.1008-0.6208j), (nan+nanj), (0.1825+0.1486j), (nan+nanj), (-0.0700+0.0481j)
 (2.1041-0.6100j), (nan+nanj), (0.1823+0.1438j), (nan+nanj), (-0.0707+0.0475j)
 (2.1080-0.5989j), (nan+nanj), (0.1825+0.1391j), (nan+nanj), (-0.0714+0.0467j)
 (2.1126-0.5878j), (nan+nanj), (0.1829+0.1348j), (nan+nanj), (-0.0720+0.0459j)
 (2.1176-0.5768j), (nan+nanj), (0.1836+0.1308j), (nan+nanj), (-0.0725+0.0450j)
 (2.1229-0.5661j), (nan+nanj), (0.1845+0.1272j), (nan+nanj), (-0.0729+0.0441j)
 (2.1286-0.5560j), (nan+nanj), (0.1856+0.1241j), (nan+nanj), (-0.0732+0.0431j)
 (2.1345-0.5467j), (nan+nanj), (0.1869+0.1214j), (nan+nanj), (-0.0733+0.0422j)
